"subject_uri","subjectBirthDate","r_property","target"
"http://dbpedia.org/resource/Richard_Klein_(paleoanthropologist)",1941-04-11,"almaMater","http://dbpedia.org/resource/University_of_Chicago"
"http://dbpedia.org/resource/Richard_Klein_(paleoanthropologist)",1941-04-11,"almaMater","http://dbpedia.org/resource/University_of_Michigan"
"http://dbpedia.org/resource/Dilip_Kumar_Chakrabarti",1941-04-27,"almaMater","http://dbpedia.org/resource/Calcutta_University"
"http://dbpedia.org/resource/Carmel_Schrire",1941-05-15,"institution","http://dbpedia.org/resource/Rutgers_University"
"http://dbpedia.org/resource/Richard_Klein_(paleoanthropologist)",1941-04-11,"institution","http://dbpedia.org/resource/University_of_Chicago"
"http://dbpedia.org/resource/Richard_Klein_(paleoanthropologist)",1941-04-11,"institution","http://dbpedia.org/resource/University_of_Wisconsin–Milwaukee"
"http://dbpedia.org/resource/Richard_Klein_(paleoanthropologist)",1941-04-11,"institution","http://dbpedia.org/resource/Stanford_University"
"http://dbpedia.org/resource/Richard_Klein_(paleoanthropologist)",1941-04-11,"institution","http://dbpedia.org/resource/Northwestern_University"
"http://dbpedia.org/resource/Richard_Klein_(paleoanthropologist)",1941-04-11,"institution","http://dbpedia.org/resource/University_of_Washington,_Seattle"
"http://dbpedia.org/resource/Siran_Upendra_Deraniyagala",1942-03-01,"almaMater","http://dbpedia.org/resource/University_of_London"
"http://dbpedia.org/resource/Siran_Upendra_Deraniyagala",1942-03-01,"almaMater","http://dbpedia.org/resource/S._Thomas'_College,_Mount_Lavinia"
"http://dbpedia.org/resource/Siran_Upendra_Deraniyagala",1942-03-01,"almaMater","http://dbpedia.org/resource/Trinity_College,_Cambridge"
"http://dbpedia.org/resource/Siran_Upendra_Deraniyagala",1942-03-01,"almaMater","http://dbpedia.org/resource/Harvard_University"
"http://dbpedia.org/resource/Alireza_Shapour_Shahbazi",1942-09-04,"institution","http://dbpedia.org/resource/University_of_Göttingen"
"http://dbpedia.org/resource/Alireza_Shapour_Shahbazi",1942-09-04,"institution","http://dbpedia.org/resource/University_of_Tehran"
"http://dbpedia.org/resource/Alireza_Shapour_Shahbazi",1942-09-04,"institution","http://dbpedia.org/resource/Columbia_University"
