"subject_uri","target","field","birthYear"
"http://dbpedia.org/resource/Anne_Strachan_Robertson","http://dbpedia.org/resource/Archaeology","Archaeology",
"http://dbpedia.org/resource/Augustus_Pitt_Rivers","http://dbpedia.org/resource/Archaeology","Archaeology",
"http://dbpedia.org/resource/William_W._Fitzhugh","http://dbpedia.org/resource/Archaeology","Archaeology",
"http://dbpedia.org/resource/Jole_Bovio_Marconi","http://dbpedia.org/resource/Archaeology","Archaeology",
"http://dbpedia.org/resource/Susan_Bulmer","http://dbpedia.org/resource/Archaeology","Archaeology",
"http://dbpedia.org/resource/Wil_Roebroeks","http://dbpedia.org/resource/Archaeology","Archaeology",
"http://dbpedia.org/resource/Alexandru_Odobescu","http://dbpedia.org/resource/Politician","Politician",
"http://dbpedia.org/resource/Jacques_Breuer","http://dbpedia.org/resource/Actor","Actor",
"http://dbpedia.org/resource/Alexandru_Odobescu","http://dbpedia.org/resource/Essayist","Essayist",
"http://dbpedia.org/resource/Therkel_Mathiassen","http://dbpedia.org/resource/Ethnography","Ethnography",
"http://dbpedia.org/resource/Constantin_Daicoviciu","http://dbpedia.org/resource/Historian","Historian",
"http://dbpedia.org/resource/Phil_Harding_(archaeologist)","http://dbpedia.org/resource/Archaeologist","Archaeologist",
"http://dbpedia.org/resource/Chen_Mengjia","http://dbpedia.org/resource/Archaeology","Archaeology",
"http://dbpedia.org/resource/Gheorghe_I._Cantacuzino","http://dbpedia.org/resource/Historian","Historian",
"http://dbpedia.org/resource/Eugene_Stockton","http://dbpedia.org/resource/Priest","Priest",
"http://dbpedia.org/resource/Gheorghe_I._Cantacuzino","http://dbpedia.org/resource/Archeologist","Archeologist",
"http://dbpedia.org/resource/Flavio_Biondo","http://dbpedia.org/resource/Humanism","Humanism",1392
"http://dbpedia.org/resource/Flavio_Biondo","http://dbpedia.org/resource/History","History",1392
"http://dbpedia.org/resource/Antoine_Galland","http://dbpedia.org/resource/Archaeologist","Archaeologist",1646
"http://dbpedia.org/resource/Antoine_Galland","http://dbpedia.org/resource/Oriental_studies","Oriental studies",1646
"http://dbpedia.org/resource/Johann_Joachim_Winckelmann","http://dbpedia.org/resource/Art_history","Art history",1717
"http://dbpedia.org/resource/Christian_Gottlob_Heyne","http://dbpedia.org/resource/Archaeologist","Archaeologist",1729
"http://dbpedia.org/resource/Christian_Gottlob_Heyne","http://dbpedia.org/resource/Göttingen_State_and_University_Library","Göttingen State and University Library",1729
"http://dbpedia.org/resource/Leopoldo_Cicognara","http://dbpedia.org/resource/Art_Historian","Art Historian",1767
"http://dbpedia.org/resource/William_Gell","http://dbpedia.org/resource/Archaeologist","Archaeologist",1777
"http://dbpedia.org/resource/Johann_Michael_Ackner","http://dbpedia.org/resource/Archaeology","Archaeology",1782
"http://dbpedia.org/resource/Jacques_Boucher_de_Crèvecœur_de_Perthes","http://dbpedia.org/resource/Archaeology","Archaeology",1788
"http://dbpedia.org/resource/Christian_Jürgensen_Thomsen","http://dbpedia.org/resource/Archeology","Archeology",1788
"http://dbpedia.org/resource/Jean-François_Champollion","http://dbpedia.org/resource/Egyptian_hieroglyphs","Egyptian hieroglyphs",1790
"http://dbpedia.org/resource/Philippe-Charles_Schmerling","http://dbpedia.org/resource/Geology","Geology",1791
"http://dbpedia.org/resource/Philippe-Charles_Schmerling","http://dbpedia.org/resource/Paleontology","Paleontology",1791
"http://dbpedia.org/resource/Philippe-Charles_Schmerling","http://dbpedia.org/resource/History","History",1791
"http://dbpedia.org/resource/Charles_Fellows","http://dbpedia.org/resource/Archaeologist","Archaeologist",1799
"http://dbpedia.org/resource/Charles_Fellows","http://dbpedia.org/resource/Exploration","Exploration",1799
"http://dbpedia.org/resource/Ernst_Curtius","http://dbpedia.org/resource/Archaeology","Archaeology",1814
"http://dbpedia.org/resource/Charles_Thomas_Newton","http://dbpedia.org/resource/Archaeology","Archaeology",1816
"http://dbpedia.org/resource/Thomas_Bateman","http://dbpedia.org/resource/Archaeologist","Archaeologist",1821
"http://dbpedia.org/resource/Jens_Jacob_Asmussen_Worsaae","http://dbpedia.org/resource/Archaeology","Archaeology",1821
"http://dbpedia.org/resource/Heinrich_Schliemann","http://dbpedia.org/resource/Archaeology","Archaeology",1822
"http://dbpedia.org/resource/John_Evans_(archaeologist)","http://dbpedia.org/resource/Geology","Geology",1823
"http://dbpedia.org/resource/John_Evans_(archaeologist)","http://dbpedia.org/resource/Archaeology","Archaeology",1823
"http://dbpedia.org/resource/Augustus_Le_Plongeon","http://dbpedia.org/resource/Antiquarian","Antiquarian",1825
"http://dbpedia.org/resource/Augustus_Le_Plongeon","http://dbpedia.org/resource/Archaeologist","Archaeologist",1825
"http://dbpedia.org/resource/Augustus_Pitt_Rivers","http://dbpedia.org/resource/Archaeology","Archaeology",1827
"http://dbpedia.org/resource/Augustus_Pitt_Rivers","http://dbpedia.org/resource/Ethnology","Ethnology",1827
"http://dbpedia.org/resource/Alexandru_Odobescu","http://dbpedia.org/resource/Publicist","Publicist",1834
"http://dbpedia.org/resource/Alexandru_Odobescu","http://dbpedia.org/resource/Archaeologist","Archaeologist",1834
"http://dbpedia.org/resource/Alexandru_Odobescu","http://dbpedia.org/resource/Politician","Politician",1834
"http://dbpedia.org/resource/Alexandru_Odobescu","http://dbpedia.org/resource/Essayist","Essayist",1834
"http://dbpedia.org/resource/Alexandru_Odobescu","http://dbpedia.org/resource/Historian","Historian",1834
"http://dbpedia.org/resource/Alexandru_Odobescu","http://dbpedia.org/resource/Playwright","Playwright",1834
"http://dbpedia.org/resource/William_Thompson_Watkin","http://dbpedia.org/resource/Archaeologist","Archaeologist",1836
"http://dbpedia.org/resource/William_Boyd_Dawkins","http://dbpedia.org/resource/Geologist","Geologist",1837
"http://dbpedia.org/resource/François_Lenormant","http://dbpedia.org/resource/Archaeologist","Archaeologist",1837
"http://dbpedia.org/resource/William_Boyd_Dawkins","http://dbpedia.org/resource/Archaeologist","Archaeologist",1837
"http://dbpedia.org/resource/Adolph_Francis_Alphonse_Bandelier","http://dbpedia.org/resource/Archaeology","Archaeology",1840
"http://dbpedia.org/resource/Charles_Warren","http://dbpedia.org/resource/The_Scout_Association","The Scout Association",1840
"http://dbpedia.org/resource/Charles_Warren","http://dbpedia.org/resource/Palestine_Expeditionary_Fund","Palestine Expeditionary Fund",1840
"http://dbpedia.org/resource/Oscar_Montelius","http://dbpedia.org/resource/Archaeology","Archaeology",1843
"http://dbpedia.org/resource/Gaston_Maspero","http://dbpedia.org/resource/Egyptology","Egyptology",1846
"http://dbpedia.org/resource/William_Robertson_Smith","http://dbpedia.org/resource/Semitic_scholar","Semitic scholar",1846
"http://dbpedia.org/resource/Grigore_Tocilescu","http://dbpedia.org/resource/Epigraphy","Epigraphy",1850
"http://dbpedia.org/resource/Grigore_Tocilescu","http://dbpedia.org/resource/Archaeology","Archaeology",1850
"http://dbpedia.org/resource/Grigore_Tocilescu","http://dbpedia.org/resource/Folkloristics","Folkloristics",1850
