"subject_uri","subjectBirthDate","birthPlace","birthPoint","r_property","organisation","orgPoint"
"http://dbpedia.org/resource/Andrew_Sherratt",1946-05-08,"http://dbpedia.org/resource/Oldham","53.5444 -2.1169","almaMater","http://dbpedia.org/resource/University_of_Cambridge","52.20527777777778 0.11722222222222221"
"http://dbpedia.org/resource/Zahi_Hawass",1947-05-28,"http://dbpedia.org/resource/Damietta","31.416666666666668 31.82138888888889","almaMater","http://dbpedia.org/resource/Cairo_University","30.0276 31.21014"
"http://dbpedia.org/resource/Zahi_Hawass",1947-05-28,"http://dbpedia.org/resource/Damietta","31.416666666666668 31.82138888888889","almaMater","http://dbpedia.org/resource/University_of_Pennsylvania","39.95 -75.19"
"http://dbpedia.org/resource/Zahi_Hawass",1947-05-28,"http://dbpedia.org/resource/Damietta","31.416666666666668 31.82138888888889","almaMater","http://dbpedia.org/resource/Alexandria_University","31.201944444444443 29.905277777777776"
"http://dbpedia.org/resource/Paolo_Biagi",1948-01-30,"http://dbpedia.org/resource/Brescia","45.541666666666664 10.216666666666667","almaMater","http://dbpedia.org/resource/University_of_Milan","45.46098888888889 9.194591666666666"
"http://dbpedia.org/resource/Paolo_Biagi",1948-01-30,"http://dbpedia.org/resource/Brescia","45.541666666666664 10.216666666666667","almaMater","http://dbpedia.org/resource/UCL_Institute_of_Archaeology","51.525 -0.13166666666666668"
"http://dbpedia.org/resource/Ian_Hodder",1948-11-23,"http://dbpedia.org/resource/Bristol","51.45 -2.5833333333333335","almaMater","http://dbpedia.org/resource/Peterhouse,_Cambridge","52.2009 0.1184"
"http://dbpedia.org/resource/Paolo_Biagi",1948-01-30,"http://dbpedia.org/resource/Brescia","45.541666666666664 10.216666666666667","institution","http://dbpedia.org/resource/Ca'_Foscari_University_of_Venice","45.4345 12.3265"
"http://dbpedia.org/resource/Paolo_Biagi",1948-01-30,"http://dbpedia.org/resource/Brescia","45.541666666666664 10.216666666666667","institution","http://dbpedia.org/resource/University_of_Genoa","44.415 8.9258"
"http://dbpedia.org/resource/Ian_Hodder",1948-11-23,"http://dbpedia.org/resource/Bristol","51.45 -2.5833333333333335","institution","http://dbpedia.org/resource/University_of_Cambridge","52.20527777777778 0.11722222222222221"
"http://dbpedia.org/resource/Ian_Hodder",1948-11-23,"http://dbpedia.org/resource/Bristol","51.45 -2.5833333333333335","institution","http://dbpedia.org/resource/University_of_Leeds","53.80722222222222 -1.5516666666666667"
"http://dbpedia.org/resource/Ian_Hodder",1948-11-23,"http://dbpedia.org/resource/Bristol","51.45 -2.5833333333333335","institution","http://dbpedia.org/resource/Stanford_University","37.4282293 -122.1688576"
"http://dbpedia.org/resource/Ian_Hodder",1948-11-23,"http://dbpedia.org/resource/Bristol","51.45 -2.5833333333333335","institution","http://dbpedia.org/resource/Darwin_College,_Cambridge","52.2006 0.1137"
"http://dbpedia.org/resource/Israel_Finkelstein",1949-03-29,"http://dbpedia.org/resource/Tel_Aviv","32.08 34.78","almaMater","http://dbpedia.org/resource/Tel_Aviv_University","32.1125 34.805"
"http://dbpedia.org/resource/Israel_Finkelstein",1949-03-29,"http://dbpedia.org/resource/Tel_Aviv","32.08 34.78","institution","http://dbpedia.org/resource/University_of_Haifa","32.7625 35.018055555555556"
"http://dbpedia.org/resource/Israel_Finkelstein",1949-03-29,"http://dbpedia.org/resource/Tel_Aviv","32.08 34.78","institution","http://dbpedia.org/resource/Tel_Aviv_University","32.1125 34.805"
"http://dbpedia.org/resource/Marek_Zvelebil",1952-01-09,"http://dbpedia.org/resource/Prague","50.0875 14.421388888888888","almaMater","http://dbpedia.org/resource/University_of_Cambridge","52.20527777777778 0.11722222222222221"
"http://dbpedia.org/resource/Marek_Zvelebil",1952-01-09,"http://dbpedia.org/resource/Prague","50.0875 14.421388888888888","almaMater","http://dbpedia.org/resource/University_of_Sheffield","53.3807 -1.4888"
"http://dbpedia.org/resource/Richard_Hodges_(archaeologist)",1952-09-29,"http://dbpedia.org/resource/Bath,_Somerset","51.38 -2.36","almaMater","http://dbpedia.org/resource/University_of_Southampton","50.93463 -1.39595"
"http://dbpedia.org/resource/Klaus_Schmidt_(archaeologist)",1953-12-11,"http://dbpedia.org/resource/Feuchtwangen","49.166666666666664 10.316666666666666","almaMater","http://dbpedia.org/resource/Heidelberg_University","49.41027777777778 8.706388888888888"
